"Date.Day","Date.Full","Date.Month","Date.Year","Show.Name","Show.Theatre","Show.Type","Statistics.Attendance","Statistics.Capacity","Statistics.Gross","Statistics.Gross Potential","Statistics.Performances"
"26","8/26/1990","8","1990","Tru","Booth","Play","5500","88","134456","0","8"
"24","3/24/1991","3","1991","Miss Saigon","Broadway","Musical","1737","100","100647","0","0"
"31","3/31/1991","3","1991","Miss Saigon","Broadway","Musical","12160","100","634424","0","0"
"7","4/7/1991","4","1991","Miss Saigon","Broadway","Musical","13921","100","713353","0","0"
"14","4/14/1991","4","1991","Miss Saigon","Broadway","Musical","10973","90","573981","0","4"
"21","4/21/1991","4","1991","Miss Saigon","Broadway","Musical","14076","101","706793","0","8"
"28","4/28/1991","4","1991","Miss Saigon","Broadway","Musical","14065","101","714968","0","8"
"5","5/5/1991","5","1991","Miss Saigon","Broadway","Musical","14064","101","730765","0","8"
"12","5/12/1991","5","1991","Miss Saigon","Broadway","Musical","13896","100","766713","0","8"
"19","5/19/1991","5","1991","Miss Saigon","Broadway","Musical","13738","99","763332","0","8"
"26","5/26/1991","5","1991","Miss Saigon","Broadway","Musical","13897","100","769137","0","8"
"2","6/2/1991","6","1991","Miss Saigon","Broadway","Musical","14016","101","774412","0","8"
"9","6/9/1991","6","1991","Miss Saigon","Broadway","Musical","14088","101","771767","0","8"
"16","6/16/1991","6","1991","Miss Saigon","Broadway","Musical","14088","101","770819","0","8"
"23","6/23/1991","6","1991","Miss Saigon","Broadway","Musical","14088","101","771192","0","8"
"30","6/30/1991","6","1991","Miss Saigon","Broadway","Musical","14088","101","777088","0","8"
"7","7/7/1991","7","1991","Miss Saigon","Broadway","Musical","14088","101","779802","0","8"
"14","7/14/1991","7","1991","Miss Saigon","Broadway","Musical","14084","101","782314","0","8"
"21","7/21/1991","7","1991","Miss Saigon","Broadway","Musical","14088","101","781413","0","8"
"28","7/28/1991","7","1991","Miss Saigon","Broadway","Musical","14088","101","786612","0","8"
"4","8/4/1991","8","1991","Miss Saigon","Broadway","Musical","14088","101","782060","0","8"
"11","8/11/1991","8","1991","Miss Saigon","Broadway","Musical","14088","101","781332","0","8"
"18","8/18/1991","8","1991","Miss Saigon","Broadway","Musical","14088","101","784392","0","8"
"25","8/25/1991","8","1991","Miss Saigon","Broadway","Musical","14088","101","786452","0","8"
"1","9/1/1991","9","1991","Miss Saigon","Broadway","Musical","14088","101","786995","0","8"
"8","9/8/1991","9","1991","Miss Saigon","Broadway","Musical","14088","101","783503","0","8"
"15","9/15/1991","9","1991","Miss Saigon","Broadway","Musical","14088","101","781614","0","8"
"22","9/22/1991","9","1991","Miss Saigon","Broadway","Musical","14088","101","780148","0","8"
"29","9/29/1991","9","1991","Miss Saigon","Broadway","Musical","14088","101","776172","0","8"
